CRUISEJOIN,HAULJOIN,REGION,VESSEL,CRUISE,HAUL,SPECIMENID,BIOSTRATUM,SPECIES_CODE,LENGTH,SEX,WEIGHT,AGE,MATURITY,MATURITY_TABLE,GONAD_WT,AUDITJOIN,SPECIMEN_SUBSAMPLE_METHOD,SPECIMEN_SAMPLE_TYPE,AGE_DETERMINATION_METHOD
-660,-7155,BS,162,201002,2,1,0,10140,190,1,68,[NULL],[NULL],[NULL],[NULL],-107162,6,1,[NULL]
-660,-7155,BS,162,201002,2,2,0,10140,180,1,50,[NULL],[NULL],[NULL],[NULL],-107163,6,1,[NULL]
-660,-7155,BS,162,201002,2,3,0,10140,220,1,92,[NULL],[NULL],[NULL],[NULL],-107164,6,1,[NULL]
-660,-7155,BS,162,201002,2,4,0,10140,230,1,114,[NULL],[NULL],[NULL],[NULL],-107165,6,1,[NULL]
-660,-7155,BS,162,201002,2,5,0,10140,170,1,40,[NULL],[NULL],[NULL],[NULL],-107166,6,1,[NULL]
-660,-7155,BS,162,201002,2,6,0,10140,210,1,80,[NULL],[NULL],[NULL],[NULL],-107167,6,1,[NULL]
-660,-7155,BS,162,201002,2,7,0,10140,160,1,36,[NULL],[NULL],[NULL],[NULL],-107168,6,1,[NULL]
-660,-7155,BS,162,201002,2,8,0,10140,140,1,26,[NULL],[NULL],[NULL],[NULL],-107169,6,1,[NULL]
-660,-7155,BS,162,201002,2,9,0,10140,160,2,46,[NULL],[NULL],[NULL],[NULL],-107170,6,1,[NULL]
-660,-7155,BS,162,201002,2,10,0,10140,230,2,104,[NULL],[NULL],[NULL],[NULL],-107171,6,1,[NULL]
-660,-7155,BS,162,201002,2,11,0,10140,240,2,134,[NULL],[NULL],[NULL],[NULL],-107172,6,1,[NULL]
-660,-7155,BS,162,201002,2,12,0,10140,250,2,134,[NULL],[NULL],[NULL],[NULL],-107173,6,1,[NULL]
-660,-7155,BS,162,201002,2,13,0,10140,280,2,174,[NULL],[NULL],[NULL],[NULL],-107174,6,1,[NULL]
-660,-7155,BS,162,201002,2,14,0,10140,210,2,98,[NULL],[NULL],[NULL],[NULL],-107175,6,1,[NULL]
-660,-7155,BS,162,201002,2,15,0,10140,330,2,358,[NULL],[NULL],[NULL],[NULL],-107176,6,1,[NULL]
-660,-7155,BS,162,201002,2,16,0,10140,200,2,74,[NULL],[NULL],[NULL],[NULL],-107177,6,1,[NULL]
-660,-7155,BS,162,201002,2,17,0,10140,190,2,62,[NULL],[NULL],[NULL],[NULL],-107178,6,1,[NULL]
-660,-7155,BS,162,201002,2,18,0,10140,260,2,190,[NULL],[NULL],[NULL],[NULL],-107179,6,1,[NULL]
-660,-7155,BS,162,201002,2,19,0,10140,220,2,110,[NULL],[NULL],[NULL],[NULL],-107180,6,1,[NULL]
-660,-7155,BS,162,201002,2,1,0,21740,120,3,10,[NULL],[NULL],[NULL],[NULL],-107181,9,1,[NULL]
-660,-7155,BS,162,201002,2,2,0,21740,130,3,14,[NULL],[NULL],[NULL],[NULL],-107182,9,1,[NULL]
-660,-7156,BS,162,201002,3,3,0,21740,140,3,14,[NULL],[NULL],[NULL],[NULL],-107183,9,1,[NULL]
-660,-7156,BS,162,201002,3,4,0,21740,130,3,14,[NULL],[NULL],[NULL],[NULL],-107184,9,1,[NULL]
-660,-7157,BS,162,201002,4,20,0,10140,280,2,262,[NULL],[NULL],[NULL],[NULL],-107185,6,1,[NULL]
-660,-7157,BS,162,201002,4,21,0,10140,390,2,566,[NULL],[NULL],[NULL],[NULL],-107186,6,1,[NULL]
-660,-7157,BS,162,201002,4,22,0,10140,360,2,462,[NULL],[NULL],[NULL],[NULL],-107187,6,1,[NULL]
-660,-7157,BS,162,201002,4,23,0,10140,270,2,192,[NULL],[NULL],[NULL],[NULL],-107188,6,1,[NULL]
-660,-7157,BS,162,201002,4,24,0,10140,220,2,112,[NULL],[NULL],[NULL],[NULL],-107189,6,1,[NULL]
-660,-7157,BS,162,201002,4,25,0,10140,230,2,120,[NULL],[NULL],[NULL],[NULL],-107190,6,1,[NULL]
-660,-7157,BS,162,201002,4,26,0,10140,250,2,160,[NULL],[NULL],[NULL],[NULL],-107191,6,1,[NULL]
-660,-7157,BS,162,201002,4,27,0,10140,240,2,116,[NULL],[NULL],[NULL],[NULL],-107192,6,1,[NULL]
-660,-7157,BS,162,201002,4,28,0,10140,290,2,232,[NULL],[NULL],[NULL],[NULL],-107193,6,1,[NULL]
-660,-7157,BS,162,201002,4,29,0,10140,150,2,32,[NULL],[NULL],[NULL],[NULL],-107194,6,1,[NULL]
-660,-7157,BS,162,201002,4,30,0,10140,180,1,52,[NULL],[NULL],[NULL],[NULL],-107195,6,1,[NULL]
-660,-7157,BS,162,201002,4,31,0,10140,170,1,44,[NULL],[NULL],[NULL],[NULL],-107196,6,1,[NULL]
-660,-7157,BS,162,201002,4,32,0,10140,160,1,38,[NULL],[NULL],[NULL],[NULL],-107197,6,1,[NULL]
-660,-7157,BS,162,201002,4,33,0,10140,200,1,76,[NULL],[NULL],[NULL],[NULL],-107198,6,1,[NULL]
-660,-7157,BS,162,201002,4,34,0,10140,220,1,98,[NULL],[NULL],[NULL],[NULL],-107199,6,1,[NULL]
-660,-7157,BS,162,201002,4,35,0,10140,130,1,18,[NULL],[NULL],[NULL],[NULL],-107200,6,1,[NULL]
-660,-7157,BS,162,201002,4,36,0,10140,140,1,60,[NULL],[NULL],[NULL],[NULL],-107201,6,1,[NULL]
-660,-7160,BS,162,201002,7,1,0,10120,570,3,1926,[NULL],[NULL],[NULL],[NULL],-107202,1,1,[NULL]
-660,-7161,BS,162,201002,8,37,0,10140,200,2,146,[NULL],[NULL],[NULL],[NULL],-107203,6,1,[NULL]
-660,-7161,BS,162,201002,8,38,0,10140,230,2,134,[NULL],[NULL],[NULL],[NULL],-107204,6,1,[NULL]
-660,-7161,BS,162,201002,8,39,0,10140,240,2,152,[NULL],[NULL],[NULL],[NULL],-107205,6,1,[NULL]
-660,-7161,BS,162,201002,8,40,0,10140,260,2,192,[NULL],[NULL],[NULL],[NULL],-107206,6,1,[NULL]
-660,-7161,BS,162,201002,8,41,0,10140,280,2,250,[NULL],[NULL],[NULL],[NULL],-107207,6,1,[NULL]
-660,-7161,BS,162,201002,8,42,0,10140,220,2,150,[NULL],[NULL],[NULL],[NULL],-107208,6,1,[NULL]
-660,-7161,BS,162,201002,8,43,0,10140,190,2,66,[NULL],[NULL],[NULL],[NULL],-107209,6,1,[NULL]
-660,-7161,BS,162,201002,8,44,0,10140,210,2,106,[NULL],[NULL],[NULL],[NULL],-107210,6,1,[NULL]
-660,-7161,BS,162,201002,8,45,0,10140,150,2,34,[NULL],[NULL],[NULL],[NULL],-107211,6,1,[NULL]
-660,-7161,BS,162,201002,8,46,0,10140,270,2,240,[NULL],[NULL],[NULL],[NULL],-107212,6,1,[NULL]
-660,-7161,BS,162,201002,8,47,0,10140,360,2,532,[NULL],[NULL],[NULL],[NULL],-107213,6,1,[NULL]
-660,-7161,BS,162,201002,8,48,0,10140,370,2,700,[NULL],[NULL],[NULL],[NULL],-107214,6,1,[NULL]
-660,-7161,BS,162,201002,8,49,0,10140,250,2,182,[NULL],[NULL],[NULL],[NULL],-107215,6,1,[NULL]
-660,-7162,BS,162,201002,9,1,0,21720,410,2,846,3,[NULL],[NULL],[NULL],-107216,6,1,6
-660,-7162,BS,162,201002,9,2,0,21720,690,1,4108,7,[NULL],[NULL],[NULL],-107217,6,1,6
-660,-7162,BS,162,201002,9,3,0,21720,720,1,5092,7,[NULL],[NULL],[NULL],-107218,6,1,6
-660,-7162,BS,162,201002,9,4,0,21720,670,1,3620,8,[NULL],[NULL],[NULL],-107219,6,1,6
-660,-7162,BS,162,201002,9,1,0,10210,300,2,364,11,[NULL],[NULL],[NULL],-107220,6,1,4
-660,-7162,BS,162,201002,9,2,0,10210,220,2,146,9,[NULL],[NULL],[NULL],-107221,6,1,4
-660,-7162,BS,162,201002,9,3,0,10210,260,2,238,9,[NULL],[NULL],[NULL],-107222,6,1,4
-660,-7162,BS,162,201002,9,4,0,10210,210,2,128,8,[NULL],[NULL],[NULL],-107223,6,1,4
-660,-7162,BS,162,201002,9,5,0,10210,370,2,670,21,[NULL],[NULL],[NULL],-107224,6,1,4
-660,-7162,BS,162,201002,9,6,0,10210,380,2,936,36,[NULL],[NULL],[NULL],-107225,6,1,4
-660,-7162,BS,162,201002,9,7,0,10210,260,1,254,10,[NULL],[NULL],[NULL],-107226,6,1,4
-660,-7162,BS,162,201002,9,8,0,10210,270,1,280,11,[NULL],[NULL],[NULL],-107227,6,1,4
-660,-7162,BS,162,201002,9,9,0,10210,280,1,268,13,[NULL],[NULL],[NULL],-107228,6,1,4
-660,-7162,BS,162,201002,9,10,0,10210,240,1,204,9,[NULL],[NULL],[NULL],-107229,6,1,4
-660,-7162,BS,162,201002,9,11,0,10210,220,1,134,7,[NULL],[NULL],[NULL],-107230,6,1,4
-660,-7163,BS,162,201002,10,5,0,21720,710,1,3642,8,[NULL],[NULL],[NULL],-107231,6,1,6
-660,-7163,BS,162,201002,10,50,0,10140,230,2,148,[NULL],[NULL],[NULL],[NULL],-107232,6,1,[NULL]
-660,-7163,BS,162,201002,10,51,0,10140,250,2,156,[NULL],[NULL],[NULL],[NULL],-107233,6,1,[NULL]
-660,-7163,BS,162,201002,10,52,0,10140,200,2,72,[NULL],[NULL],[NULL],[NULL],-107234,6,1,[NULL]
-660,-7163,BS,162,201002,10,53,0,10140,220,2,120,[NULL],[NULL],[NULL],[NULL],-107235,6,1,[NULL]
-660,-7163,BS,162,201002,10,54,0,10140,260,2,182,[NULL],[NULL],[NULL],[NULL],-107236,6,1,[NULL]
-660,-7163,BS,162,201002,10,55,0,10140,160,2,34,[NULL],[NULL],[NULL],[NULL],-107237,6,1,[NULL]
-660,-7163,BS,162,201002,10,56,0,10140,150,2,34,[NULL],[NULL],[NULL],[NULL],-107238,6,1,[NULL]
-660,-7163,BS,162,201002,10,57,0,10140,110,2,12,[NULL],[NULL],[NULL],[NULL],-107239,6,1,[NULL]
-660,-7163,BS,162,201002,10,58,0,10140,160,1,44,[NULL],[NULL],[NULL],[NULL],-107240,6,1,[NULL]
-660,-7163,BS,162,201002,10,59,0,10140,170,1,44,[NULL],[NULL],[NULL],[NULL],-107241,6,1,[NULL]
-660,-7163,BS,162,201002,10,60,0,10140,120,1,16,[NULL],[NULL],[NULL],[NULL],-107242,6,1,[NULL]
-660,-7163,BS,162,201002,10,61,0,10140,220,1,100,[NULL],[NULL],[NULL],[NULL],-107243,6,1,[NULL]
-660,-7164,BS,162,201002,11,5,0,21740,120,3,10,[NULL],[NULL],[NULL],[NULL],-107244,9,1,[NULL]
-660,-7164,BS,162,201002,11,6,0,21740,120,3,8,[NULL],[NULL],[NULL],[NULL],-107245,9,1,[NULL]
-660,-7165,BS,162,201002,12,1,0,10115,150,3,20,[NULL],[NULL],[NULL],[NULL],-107246,6,1,[NULL]
-660,-7165,BS,162,201002,12,2,0,10115,130,3,16,[NULL],[NULL],[NULL],[NULL],-107247,6,1,[NULL]
-660,-7166,BS,162,201002,13,3,0,10115,130,3,16,[NULL],[NULL],[NULL],[NULL],-107248,6,1,[NULL]
-660,-7166,BS,162,201002,13,4,0,10115,160,3,26,[NULL],[NULL],[NULL],[NULL],-107249,6,1,[NULL]
-660,-7166,BS,162,201002,13,5,0,10115,150,3,22,[NULL],[NULL],[NULL],[NULL],-107250,6,1,[NULL]
-660,-7166,BS,162,201002,13,6,0,10115,100,3,4,[NULL],[NULL],[NULL],[NULL],-107251,6,1,[NULL]
-660,-7166,BS,162,201002,13,7,0,10115,120,3,8,[NULL],[NULL],[NULL],[NULL],-107252,6,1,[NULL]
-660,-7166,BS,162,201002,13,8,0,10115,110,3,8,[NULL],[NULL],[NULL],[NULL],-107253,6,1,[NULL]
-660,-7167,BS,162,201002,14,7,0,21740,120,3,10,[NULL],[NULL],[NULL],[NULL],-107254,9,1,[NULL]
-660,-7167,BS,162,201002,14,8,0,21740,110,3,8,[NULL],[NULL],[NULL],[NULL],-107255,9,1,[NULL]
-660,-7167,BS,162,201002,14,62,0,10140,120,3,18,[NULL],[NULL],[NULL],[NULL],-107256,6,1,[NULL]
-660,-7167,BS,162,201002,14,63,0,10140,90,3,6,[NULL],[NULL],[NULL],[NULL],-107257,6,1,[NULL]
-660,-7167,BS,162,201002,14,64,0,10140,100,3,10,[NULL],[NULL],[NULL],[NULL],-107258,6,1,[NULL]
-660,-7167,BS,162,201002,14,65,0,10140,130,3,22,[NULL],[NULL],[NULL],[NULL],-107259,6,1,[NULL]
-660,-7167,BS,162,201002,14,66,0,10140,110,3,14,[NULL],[NULL],[NULL],[NULL],-107260,6,1,[NULL]
-660,-7167,BS,162,201002,14,67,0,10140,230,1,112,[NULL],[NULL],[NULL],[NULL],-107261,6,1,[NULL]
-660,-7167,BS,162,201002,14,68,0,10140,210,1,90,[NULL],[NULL],[NULL],[NULL],-107262,6,1,[NULL]
-660,-7167,BS,162,201002,14,69,0,10140,190,1,60,[NULL],[NULL],[NULL],[NULL],-107263,6,1,[NULL]
-660,-7167,BS,162,201002,14,70,0,10140,200,1,74,[NULL],[NULL],[NULL],[NULL],-107264,6,1,[NULL]
-660,-7167,BS,162,201002,14,71,0,10140,260,1,170,[NULL],[NULL],[NULL],[NULL],-107265,6,1,[NULL]
-660,-7167,BS,162,201002,14,72,0,10140,150,1,50,[NULL],[NULL],[NULL],[NULL],-107266,6,1,[NULL]
-660,-7167,BS,162,201002,14,73,0,10140,280,2,224,[NULL],[NULL],[NULL],[NULL],-107267,6,1,[NULL]
-660,-7167,BS,162,201002,14,74,0,10140,330,2,384,[NULL],[NULL],[NULL],[NULL],-107268,6,1,[NULL]
-660,-7167,BS,162,201002,14,75,0,10140,350,2,460,[NULL],[NULL],[NULL],[NULL],-107269,6,1,[NULL]
-660,-7167,BS,162,201002,14,76,0,10140,290,2,234,[NULL],[NULL],[NULL],[NULL],-107270,6,1,[NULL]
-660,-7167,BS,162,201002,14,77,0,10140,310,2,292,[NULL],[NULL],[NULL],[NULL],-107271,6,1,[NULL]
-660,-7168,BS,162,201002,15,9,0,21740,120,3,12,[NULL],[NULL],[NULL],[NULL],-107272,9,1,[NULL]
-660,-7168,BS,162,201002,15,10,0,21740,100,3,8,[NULL],[NULL],[NULL],[NULL],-107273,9,1,[NULL]
-660,-7168,BS,162,201002,15,9,0,10115,140,3,20,[NULL],[NULL],[NULL],[NULL],-107274,6,1,[NULL]
-660,-7168,BS,162,201002,15,10,0,10115,140,3,22,[NULL],[NULL],[NULL],[NULL],-107275,6,1,[NULL]
-660,-7168,BS,162,201002,15,11,0,10115,130,3,14,[NULL],[NULL],[NULL],[NULL],-107276,6,1,[NULL]
-660,-7168,BS,162,201002,15,12,0,10115,110,3,10,[NULL],[NULL],[NULL],[NULL],-107277,6,1,[NULL]
-660,-7169,BS,162,201002,16,13,0,10115,240,1,110,[NULL],[NULL],[NULL],[NULL],-107278,6,1,[NULL]
-660,-7169,BS,162,201002,16,14,0,10115,140,3,14,[NULL],[NULL],[NULL],[NULL],-107279,6,1,[NULL]
-660,-7169,BS,162,201002,16,15,0,10115,130,3,14,[NULL],[NULL],[NULL],[NULL],-107280,6,1,[NULL]
-660,-7169,BS,162,201002,16,16,0,10115,120,3,12,[NULL],[NULL],[NULL],[NULL],-107281,6,1,[NULL]
-660,-7169,BS,162,201002,16,17,0,10115,90,3,6,[NULL],[NULL],[NULL],[NULL],-107282,6,1,[NULL]
-660,-7169,BS,162,201002,16,6,0,21720,250,2,136,1,[NULL],[NULL],[NULL],-107283,6,1,6
-660,-7171,BS,162,201002,18,2,0,10120,420,2,762,[NULL],[NULL],[NULL],[NULL],-107284,1,1,[NULL]
-660,-7171,BS,162,201002,18,3,0,10120,440,1,756,[NULL],[NULL],[NULL],[NULL],-107285,1,1,[NULL]
-661,-7172,BS,89,201002,1,19,0,10210,160,2,50,6,[NULL],[NULL],[NULL],-107292,6,1,4
-661,-7172,BS,89,201002,1,20,0,10210,310,2,436,11,[NULL],[NULL],[NULL],-107293,6,1,4
-661,-7172,BS,89,201002,1,1,0,10210,230,1,166,7,[NULL],[NULL],[NULL],-107294,6,1,4
-661,-7172,BS,89,201002,1,2,0,10210,180,1,68,9,[NULL],[NULL],[NULL],-107295,6,1,4
-661,-7172,BS,89,201002,1,3,0,10210,190,1,92,8,[NULL],[NULL],[NULL],-107296,6,1,4
-661,-7172,BS,89,201002,1,4,0,10210,170,1,46,5,[NULL],[NULL],[NULL],-107297,6,1,3
-661,-7172,BS,89,201002,1,5,0,10210,220,1,142,8,[NULL],[NULL],[NULL],-107298,6,1,4
-661,-7172,BS,89,201002,1,6,0,10210,200,1,104,9,[NULL],[NULL],[NULL],-107299,6,1,4
-661,-7172,BS,89,201002,1,7,0,10210,150,1,36,5,[NULL],[NULL],[NULL],-107300,6,1,4
-661,-7172,BS,89,201002,1,8,0,10210,280,2,284,9,[NULL],[NULL],[NULL],-107301,6,1,4
-661,-7172,BS,89,201002,1,9,0,10210,340,2,460,12,[NULL],[NULL],[NULL],-107302,6,1,4
-661,-7172,BS,89,201002,1,10,0,10210,380,2,636,15,[NULL],[NULL],[NULL],-107303,6,1,4
-661,-7172,BS,89,201002,1,11,0,10210,200,2,98,7,[NULL],[NULL],[NULL],-107304,6,1,4
-661,-7172,BS,89,201002,1,12,0,10210,360,2,586,21,[NULL],[NULL],[NULL],-107305,6,1,4
-661,-7172,BS,89,201002,1,13,0,10210,220,2,144,6,[NULL],[NULL],[NULL],-107306,6,1,4
-661,-7172,BS,89,201002,1,14,0,10210,210,2,138,6,[NULL],[NULL],[NULL],-107307,6,1,4
-661,-7172,BS,89,201002,1,15,0,10210,290,2,332,9,[NULL],[NULL],[NULL],-107308,6,1,4
-661,-7172,BS,89,201002,1,16,0,10210,250,2,188,7,[NULL],[NULL],[NULL],-107309,6,1,4
-661,-7172,BS,89,201002,1,17,0,10210,190,2,84,6,[NULL],[NULL],[NULL],-107310,6,1,4
-661,-7172,BS,89,201002,1,18,0,10210,350,2,622,[NULL],[NULL],[NULL],[NULL],-107311,6,1,[NULL]
-661,-7175,BS,89,201002,4,21,0,10210,360,2,506,18,[NULL],[NULL],[NULL],-107365,6,1,4
-661,-7175,BS,89,201002,4,22,0,10210,260,2,182,7,[NULL],[NULL],[NULL],-107366,6,1,4
-661,-7175,BS,89,201002,4,23,0,10210,350,2,530,14,[NULL],[NULL],[NULL],-107367,6,1,4
-661,-7175,BS,89,201002,4,24,0,10210,340,2,510,10,[NULL],[NULL],[NULL],-107368,6,1,4
-661,-7175,BS,89,201002,4,25,0,10210,370,2,620,15,[NULL],[NULL],[NULL],-107369,6,1,4
-661,-7175,BS,89,201002,4,26,0,10210,230,2,146,9,[NULL],[NULL],[NULL],-107370,6,1,4
-661,-7175,BS,89,201002,4,27,0,10210,190,2,88,8,[NULL],[NULL],[NULL],-107371,6,1,4
-661,-7175,BS,89,201002,4,28,0,10210,400,2,750,21,[NULL],[NULL],[NULL],-107372,6,1,4
-661,-7175,BS,89,201002,4,29,0,10210,330,2,454,15,[NULL],[NULL],[NULL],-107373,6,1,4
-661,-7175,BS,89,201002,4,30,0,10210,280,2,286,9,[NULL],[NULL],[NULL],-107374,6,1,4
-661,-7175,BS,89,201002,4,31,0,10210,240,2,156,9,[NULL],[NULL],[NULL],-107375,6,1,4
-661,-7175,BS,89,201002,4,32,0,10210,210,2,114,7,[NULL],[NULL],[NULL],-107376,6,1,4
-661,-7175,BS,89,201002,4,33,0,10210,200,2,98,8,[NULL],[NULL],[NULL],-107377,6,1,4
-661,-7175,BS,89,201002,4,34,0,10210,180,2,62,6,[NULL],[NULL],[NULL],-107378,6,1,4
-661,-7175,BS,89,201002,4,35,0,10210,300,2,344,12,[NULL],[NULL],[NULL],-107379,6,1,4
-661,-7175,BS,89,201002,4,36,0,10210,250,2,134,9,[NULL],[NULL],[NULL],-107380,6,1,4
-661,-7175,BS,89,201002,4,37,0,10210,310,2,344,11,[NULL],[NULL],[NULL],-107381,6,1,4
-661,-7175,BS,89,201002,4,38,0,10210,270,2,234,9,[NULL],[NULL],[NULL],-107382,6,1,4
-661,-7175,BS,89,201002,4,39,0,10210,220,2,140,9,[NULL],[NULL],[NULL],-107383,6,1,4
-661,-7175,BS,89,201002,4,40,0,10210,170,2,50,5,[NULL],[NULL],[NULL],-107384,6,1,4
-661,-7176,BS,89,201002,5,1,0,10140,160,2,42,[NULL],[NULL],[NULL],[NULL],-107418,6,1,[NULL]
-661,-7176,BS,89,201002,5,2,0,10140,130,2,16,[NULL],[NULL],[NULL],[NULL],-107419,6,1,[NULL]
-661,-7176,BS,89,201002,5,3,0,10140,100,2,10,[NULL],[NULL],[NULL],[NULL],-107420,6,1,[NULL]
-661,-7176,BS,89,201002,5,4,0,10140,90,2,8,[NULL],[NULL],[NULL],[NULL],-107421,6,1,[NULL]
-661,-7176,BS,89,201002,5,5,0,10140,150,1,28,[NULL],[NULL],[NULL],[NULL],-107422,6,1,[NULL]
-661,-7176,BS,89,201002,5,6,0,10140,180,1,58,[NULL],[NULL],[NULL],[NULL],-107423,6,1,[NULL]
-661,-7176,BS,89,201002,5,7,0,10140,100,1,16,[NULL],[NULL],[NULL],[NULL],-107424,6,1,[NULL]
-661,-7177,BS,89,201002,6,8,0,10140,150,2,28,[NULL],[NULL],[NULL],[NULL],-107431,6,1,[NULL]
-661,-7177,BS,89,201002,6,9,0,10140,240,1,138,[NULL],[NULL],[NULL],[NULL],-107432,6,1,[NULL]
-661,-7177,BS,89,201002,6,10,0,10140,180,1,60,[NULL],[NULL],[NULL],[NULL],-107433,6,1,[NULL]
-661,-7177,BS,89,201002,6,11,0,10140,170,1,46,[NULL],[NULL],[NULL],[NULL],-107434,6,1,[NULL]
-661,-7178,BS,89,201002,7,12,0,10140,120,1,16,[NULL],[NULL],[NULL],[NULL],-107480,6,1,[NULL]
-661,-7178,BS,89,201002,7,13,0,10140,110,1,14,[NULL],[NULL],[NULL],[NULL],-107481,6,1,[NULL]
-661,-7178,BS,89,201002,7,14,0,10140,120,1,18,[NULL],[NULL],[NULL],[NULL],-107482,6,1,[NULL]
-661,-7178,BS,89,201002,7,15,0,10140,150,1,36,[NULL],[NULL],[NULL],[NULL],-107483,6,1,[NULL]
-661,-7178,BS,89,201002,7,16,0,10140,160,1,42,[NULL],[NULL],[NULL],[NULL],-107484,6,1,[NULL]
-661,-7178,BS,89,201002,7,17,0,10140,140,1,26,[NULL],[NULL],[NULL],[NULL],-107485,6,1,[NULL]
-661,-7178,BS,89,201002,7,18,0,10140,110,1,16,[NULL],[NULL],[NULL],[NULL],-107486,6,1,[NULL]
-661,-7178,BS,89,201002,7,19,0,10140,100,1,10,[NULL],[NULL],[NULL],[NULL],-107487,6,1,[NULL]
-661,-7178,BS,89,201002,7,20,0,10140,110,2,14,[NULL],[NULL],[NULL],[NULL],-107488,6,1,[NULL]
-661,-7178,BS,89,201002,7,21,0,10140,120,2,14,[NULL],[NULL],[NULL],[NULL],-107489,6,1,[NULL]
-661,-7178,BS,89,201002,7,22,0,10140,110,2,14,[NULL],[NULL],[NULL],[NULL],-107490,6,1,[NULL]
-661,-7178,BS,89,201002,7,23,0,10140,140,2,26,[NULL],[NULL],[NULL],[NULL],-107491,6,1,[NULL]
-661,-7178,BS,89,201002,7,24,0,10140,140,2,26,[NULL],[NULL],[NULL],[NULL],-107492,6,1,[NULL]
-661,-7178,BS,89,201002,7,25,0,10140,120,2,18,[NULL],[NULL],[NULL],[NULL],-107493,6,1,[NULL]
-661,-7178,BS,89,201002,7,26,0,10140,130,2,20,[NULL],[NULL],[NULL],[NULL],-107494,6,1,[NULL]
-661,-7178,BS,89,201002,7,27,0,10140,210,2,92,[NULL],[NULL],[NULL],[NULL],-107495,6,1,[NULL]
-661,-7178,BS,89,201002,7,28,0,10140,160,2,38,[NULL],[NULL],[NULL],[NULL],-107496,6,1,[NULL]
-661,-7178,BS,89,201002,7,29,0,10140,180,2,54,[NULL],[NULL],[NULL],[NULL],-107497,6,1,[NULL]
-661,-7178,BS,89,201002,7,30,0,10140,170,2,48,[NULL],[NULL],[NULL],[NULL],-107498,6,1,[NULL]
-661,-7178,BS,89,201002,7,31,0,10140,190,2,72,[NULL],[NULL],[NULL],[NULL],-107499,6,1,[NULL]
-661,-7179,BS,89,201002,8,44,0,10210,210,1,114,8,[NULL],[NULL],[NULL],-107536,6,1,4
-661,-7179,BS,89,201002,8,45,0,10210,230,1,136,9,[NULL],[NULL],[NULL],-107537,6,1,4
-661,-7179,BS,89,201002,8,46,0,10210,220,1,118,6,[NULL],[NULL],[NULL],-107538,6,1,4
-661,-7179,BS,89,201002,8,47,0,10210,190,1,88,7,[NULL],[NULL],[NULL],-107539,6,1,4
-661,-7179,BS,89,201002,8,48,0,10210,200,1,92,7,[NULL],[NULL],[NULL],-107540,6,1,3
-661,-7179,BS,89,201002,8,49,0,10210,180,1,72,6,[NULL],[NULL],[NULL],-107541,6,1,4
-661,-7179,BS,89,201002,8,50,0,10210,170,1,64,5,[NULL],[NULL],[NULL],-107542,6,1,4
-661,-7179,BS,89,201002,8,51,0,10210,440,2,1150,36,[NULL],[NULL],[NULL],-107543,6,1,4
-661,-7179,BS,89,201002,8,52,0,10210,410,2,724,29,[NULL],[NULL],[NULL],-107544,6,1,4
-661,-7179,BS,89,201002,8,53,0,10210,390,2,748,25,[NULL],[NULL],[NULL],-107545,6,1,4
-661,-7179,BS,89,201002,8,54,0,10210,400,2,866,27,[NULL],[NULL],[NULL],-107546,6,1,4
-661,-7179,BS,89,201002,8,55,0,10210,330,2,464,12,[NULL],[NULL],[NULL],-107547,6,1,4
-661,-7179,BS,89,201002,8,56,0,10210,380,2,632,17,[NULL],[NULL],[NULL],-107548,6,1,4
-661,-7179,BS,89,201002,8,57,0,10210,320,2,422,10,[NULL],[NULL],[NULL],-107549,6,1,4
-661,-7179,BS,89,201002,8,58,0,10210,430,2,886,31,[NULL],[NULL],[NULL],-107550,6,1,4
-661,-7179,BS,89,201002,8,59,0,10210,370,2,632,15,[NULL],[NULL],[NULL],-107500,6,1,4
-661,-7179,BS,89,201002,8,60,0,10210,390,2,786,23,[NULL],[NULL],[NULL],-107501,6,1,4
-661,-7179,BS,89,201002,8,61,0,10210,170,2,60,5,[NULL],[NULL],[NULL],-107502,6,1,4
-661,-7179,BS,89,201002,8,41,0,10210,380,1,580,24,[NULL],[NULL],[NULL],-107533,6,1,4
-661,-7179,BS,89,201002,8,42,0,10210,280,1,266,9,[NULL],[NULL],[NULL],-107534,6,1,4
-661,-7179,BS,89,201002,8,43,0,10210,270,1,248,8,[NULL],[NULL],[NULL],-107535,6,1,4
-661,-7180,BS,89,201002,9,32,0,10140,300,2,298,[NULL],[NULL],[NULL],[NULL],-107551,6,1,[NULL]
-661,-7180,BS,89,201002,9,33,0,10140,240,2,150,[NULL],[NULL],[NULL],[NULL],-107552,6,1,[NULL]
-661,-7180,BS,89,201002,9,34,0,10140,220,2,104,[NULL],[NULL],[NULL],[NULL],-107553,6,1,[NULL]
-661,-7180,BS,89,201002,9,35,0,10140,260,1,174,[NULL],[NULL],[NULL],[NULL],-107554,6,1,[NULL]
-661,-7180,BS,89,201002,9,36,0,10140,210,1,100,[NULL],[NULL],[NULL],[NULL],-107555,6,1,[NULL]
-661,-7180,BS,89,201002,9,37,0,10140,200,1,82,[NULL],[NULL],[NULL],[NULL],-107556,6,1,[NULL]
-661,-7180,BS,89,201002,9,38,0,10140,140,1,30,[NULL],[NULL],[NULL],[NULL],-107557,6,1,[NULL]
-661,-7180,BS,89,201002,9,39,0,10140,160,1,46,[NULL],[NULL],[NULL],[NULL],-107558,6,1,[NULL]
